dataset_id,split,view,source_image,source_annotation,canonical_conditions,canonical_labels,canonical_annotation_count,hash_sha256,notes
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0193.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0193.txt,CR-01+CR-02,helmet|person|vest,13,fbf6d2f5e0ef50488062304a2ef02c49a3972dc031a9dab082fadffbd411ccd5,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0852.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0852.txt,CR-01,helmet|person,16,f7861d932a01924b4b5b1c7ce1a9528238eb0b257e35c6f61ba63477c9377472,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0067.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0067.txt,CR-01,helmet|person,2,f022c159aac8ce3975ac4039a1fd94b40df404eff59dfcb62c2cc2a0ee795d9f,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0597.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0597.txt,CR-01,helmet|person,4,5c383906b1a6009ae55f7ae2a5b85e23566f3f6c7671f517a24a702f8a8bc2f2,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_1305.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_1305.txt,CR-01,helmet|person,16,45290f9c08c71815c32deec650171278a61bc40547104a31cd30ecb9681f26b4,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0594.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0594.txt,CR-01,helmet|person,4,5adfb27f164f34d56e80ce53dd1c2fa41fd4133ad8aa62eb5ecaecf19a6555ef,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0982.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0982.txt,CR-01,helmet|person,6,66eb20741d04a0d6d1bdec1bf7fb68b09101335d93c75b886717d224bb6f978b,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_1308.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_1308.txt,CR-01,helmet|person,2,33bb02d3d255ed999dbf9cce745f7cea4eb759c0e2fa5b778ab0527c624e2df4,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0360.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0360.txt,CR-01,helmet,1,bcce01c62c222e5e7388a91b867090bd9ef72dce8b2d1f0e164a9abd12a4ced1,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0518.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0518.txt,CR-01,helmet|person,2,a843973395b0ba71c1fe50fad3bf79ab06f8376d2a0d9d5ad8d8dffa278dbb54,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0809.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0809.txt,CR-01,helmet|person,7,88139928ee76b31377504c93ee843d0fbaa522174f68cc8070bfd885e65c12e7,official_split_valid_normalized_to_val
chv,test,canonical_positive_context,datasets/raw/chv/CHV_dataset/images/ppe_0933.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0933.txt,CR-01+CR-02,helmet|person|vest,9,f3f6653cf72b4584afefb21d00705ac68d5da76bf146a7a496cf763d0fd49b73,official_split_valid_normalized_to_val
