dataset_id,split,view,source_image,source_annotation,canonical_conditions,canonical_labels,canonical_annotation_count,hash_sha256,notes
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1120.jpg,datasets/raw/construction_ppe/labels/test/image1120.txt,CR-01,no_helmet|person,2,62da23924d7de45be49cf4eecfc8b8aa3a51901e3794320a63e95b13f17b2482,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1132.jpg,datasets/raw/construction_ppe/labels/test/image1132.txt,CR-01,no_helmet|person,2,eba55f595c70a0f4eb5d5ad8eb24309526a3478961bde04cdffd42013cb3d49c,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1133.jpg,datasets/raw/construction_ppe/labels/test/image1133.txt,CR-01,no_helmet|person,2,060258f5709aa420d2997e52dd74e39d10c0b7e557fec102c265189122cc5470,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1139.jpg,datasets/raw/construction_ppe/labels/test/image1139.txt,CR-01,no_helmet|person,2,37c3d6d3e7fc3eca2315f1734efc5eef32142a1ed9644515f35b6c8fbe45c94b,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1145.jpg,datasets/raw/construction_ppe/labels/test/image1145.txt,CR-01,no_helmet|person,11,9d0817c5664de792b7597489828da731fbeff4efeaf800c99a31529dfeca4b98,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1152.jpg,datasets/raw/construction_ppe/labels/test/image1152.txt,CR-01,no_helmet|person,2,47dbd51995e1a4e015772599c2e8621fb7ac16ba27671cfc2ca4d16b0841d0be,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1178.jpg,datasets/raw/construction_ppe/labels/test/image1178.txt,CR-01,no_helmet|person,2,3bc28965fa683bc4690d79b31d3622da7cf658096b40df6a8565ab55aca7a077,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1205.jpg,datasets/raw/construction_ppe/labels/test/image1205.txt,CR-01,no_helmet|person,6,2575f828d948ccea69838fa7b0b7c9411e1f14cace4a93b6f3b4243b6190fc7c,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1229.jpg,datasets/raw/construction_ppe/labels/test/image1229.txt,CR-01,no_helmet|person,2,961267191ce57b3075124016aaea9158b26ae2364a78a7bed725695f5b1f739f,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1231.jpg,datasets/raw/construction_ppe/labels/test/image1231.txt,CR-01,no_helmet|person,4,df1126344001803e77ccceacfd6fa13ce06454b01803e71aa63a10790fda0bbc,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1235.jpg,datasets/raw/construction_ppe/labels/test/image1235.txt,CR-01,no_helmet|person,4,f5b127f1c78c8be9b116ad7446edaeb7d7cc8e39150dc27252c698f3fcb377e8,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1239.jpg,datasets/raw/construction_ppe/labels/test/image1239.txt,CR-01,no_helmet|person,6,fccc8b72fa6dab487cf92349fbcf36154690f0abbba61c4981496714fb318a41,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1252.jpg,datasets/raw/construction_ppe/labels/test/image1252.txt,CR-01,no_helmet|person,2,f047d86f95a0cfd403261fab3e404ded260eb44fd7743db23ea9f9071816ae57,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1256.jpg,datasets/raw/construction_ppe/labels/test/image1256.txt,CR-01,no_helmet|person,6,f8a3ef82ced85b2d2871ee9bb61091aaa953479b16e8cd6c0a7e2b017b275c6f,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1264.jpg,datasets/raw/construction_ppe/labels/test/image1264.txt,CR-01,no_helmet|person,9,0032ffc707c407bda80b804124b1f4e782320da56e4c8e2e81b1c477abf9f244,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1270.jpg,datasets/raw/construction_ppe/labels/test/image1270.txt,CR-01,no_helmet|person,6,aa31be89e67425278e467066c0098a5e116d06efdb5cd02aec87103172fdbf58,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1276.jpg,datasets/raw/construction_ppe/labels/test/image1276.txt,CR-01,no_helmet|person,2,56ea183ba10900f34a9d63bee84ef590096b09a2b914bb841337f700e0856d31,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1292.jpg,datasets/raw/construction_ppe/labels/test/image1292.txt,CR-01,no_helmet|person,2,c5254b380ad09b4264ab73a5b04d36732fd30a59a992c7aa182401bcc8c062cb,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1293.jpg,datasets/raw/construction_ppe/labels/test/image1293.txt,CR-01,no_helmet|person,2,1f77c61e13720d60903df26b7a85d8c3a0d7aac020ebb0796eae359ea5b7d58a,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1306.jpg,datasets/raw/construction_ppe/labels/test/image1306.txt,CR-01,no_helmet|person,4,c721d70e91cb39cc23addd34bf59df64a27df9b20d7cd58eae12fe884b568832,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1330.jpg,datasets/raw/construction_ppe/labels/test/image1330.txt,CR-01,no_helmet|person,2,3e396ea9d7f889ff0067fcf3b63dd6530d1812563ca20704558d6ff5a342747e,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1331.jpg,datasets/raw/construction_ppe/labels/test/image1331.txt,CR-01,no_helmet|person,2,a7731ba2d930e24b9c07ee2507ed89c5804bf6952c4faf077ed47d2a6a62ebf0,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1332.jpg,datasets/raw/construction_ppe/labels/test/image1332.txt,CR-01,no_helmet|person,2,14bbccfc5d146b3f6ee06c644852adaa0eae0e354708a97bf775effcaca8843c,official_split
construction_ppe,test,condition_positive,datasets/raw/construction_ppe/images/test/image1344.jpg,datasets/raw/construction_ppe/labels/test/image1344.txt,CR-01,no_helmet|person,2,671c488acdff1e89af2873edaba15c02d299a012cbddbe3a43a839eabef44139,official_split
