dataset_id,source_image,source_annotation,canonical_conditions,split,split_seed,hash_sha256,notes
chv,datasets/raw/chv/CHV_dataset/images/ppe_1106.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_1106.txt,CR-01+CR-02,train,,fab0fde1ce4dd7aebb5e1018a20faf476062aef0ff4b062a3e02e5182d899d26,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0738.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0738.txt,CR-01+CR-02,train,,ffcbbb20e9b8fa5c8788aec8fe09cf1487c0b99a082308dc9d491182f59a77f1,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0259.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0259.txt,CR-01+CR-02,train,,a1fff945d7014ab2fc6d768d745df70554ea5b405db32ef16bc0ca69ba5744d9,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0697.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0697.txt,CR-01,train,,ea1f53bb4d8f9c5f92bccc943d81cd3a5f4943e9131998f0090094d946f76532,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0729.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0729.txt,CR-01,train,,c474441d654fd2731ed97b1d786f255976ae758026020c0c0f0638e394595bcf,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0019.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0019.txt,CR-01,train,,28af5e2150d83ede999afe6777f2d73a4fc33f08d61948042d7f4ff6c9ebb6c8,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0072.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0072.txt,CR-01,train,,7b0e20615bc6e651b5e5b909824ce790f266478bc79d955135d382ccacc8169e,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0841.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0841.txt,CR-01+CR-02,train,,a3cea4858568237956d5850ddfd8d3691fe8cb02123787ded3787981f8b9e3d7,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0661.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0661.txt,CR-01,train,,5ae3dfbb9fe6db3b472098562e9d8209b2219ed7c429e8380a78baea3ea21009,official_split_valid_normalized_to_val
chv,datasets/raw/chv/CHV_dataset/images/ppe_0554.jpg,datasets/raw/chv/CHV_dataset/annotations/ppe_0554.txt,CR-01+CR-02,train,,0808a93cfeecfe7fd913b40c29793d9691be686e0fe5ab549d36ad714560f98c,official_split_valid_normalized_to_val
