dataset_id,split,view,source_image,source_annotation,canonical_conditions,canonical_labels,canonical_annotation_count,hash_sha256,notes
construction_ppe,train,no_canonical_annotations,datasets/raw/construction_ppe/images/train/image1171.jpg,datasets/raw/construction_ppe/labels/train/image1171.txt,none,,0,929dd741dc512eb4e2745ac3c99b6ff5dc6e39cdaaa8a3abe43d10067d1c90c8,official_split
construction_ppe,train,no_canonical_annotations,datasets/raw/construction_ppe/images/train/image482.jpg,datasets/raw/construction_ppe/labels/train/image482.txt,none,,0,1f07a30b10a7d983f97fa5fd3bbfeaa5d3fbd07279c39c8df713f7c9ffd97dc5,official_split
construction_ppe,train,no_canonical_annotations,datasets/raw/construction_ppe/images/train/image526.jpg,datasets/raw/construction_ppe/labels/train/image526.txt,none,,0,d39ef8e12351692c9d61fb25ed8edd7df4d659185595787abd6a8f87d1914bff,official_split
construction_ppe,train,no_canonical_annotations,datasets/raw/construction_ppe/images/train/image57.jpeg,datasets/raw/construction_ppe/labels/train/image57.txt,none,,0,c48689ea05a43347a3c8f620424f24a4a32d2ba3f4dca85cdf0f03fbc50a813a,official_split
construction_ppe,train,no_canonical_annotations,datasets/raw/construction_ppe/images/train/image720.jpeg,datasets/raw/construction_ppe/labels/train/image720.txt,none,,0,918334ff19781af586dcd3906f3a0bb3ff4fe3b623e4f26a7fb4c8587f841bf1,official_split
construction_ppe,train,no_canonical_annotations,datasets/raw/construction_ppe/images/train/image818.jpeg,datasets/raw/construction_ppe/labels/train/image818.txt,none,,0,634cb0f4c13ae601d39fddbc3c440894a118283d69e7d05fac845e37c8466a47,official_split
sh17,train,no_canonical_annotations,datasets/raw/sh17/kaggle/images/pexels-photo-7222228.jpeg,datasets/raw/sh17/kaggle/labels/pexels-photo-7222228.txt,none,,0,af2b74d0a7ee3224a2d6efac47fcb16f0f22d8f99b1015d5ff4e33554853d10d,official_train_val_no_explicit_test
sh17,train,no_canonical_annotations,datasets/raw/sh17/kaggle/images/pexels-photo-6937419.jpeg,datasets/raw/sh17/kaggle/labels/pexels-photo-6937419.txt,none,,0,7248725e52f0f0dbb112accb1337d0a57cebcdaa88711bfafbd145616617f5ba,official_train_val_no_explicit_test
sh17,train,no_canonical_annotations,datasets/raw/sh17/kaggle/images/pexels-photo-4350043.jpeg,datasets/raw/sh17/kaggle/labels/pexels-photo-4350043.txt,none,,0,8e17a1acdda7dd49f5e5743577f75f2afda039bd77c51739a25345cd11a8d7ac,official_train_val_no_explicit_test
sh17,train,no_canonical_annotations,datasets/raw/sh17/kaggle/images/pexels-photo-6913174.jpeg,datasets/raw/sh17/kaggle/labels/pexels-photo-6913174.txt,none,,0,c4fea1fe05d6a26014c8431804d1e9485cb70f3c80890b0cf18affe0022f13e8,official_train_val_no_explicit_test
